,close
584,0.86112
585,0.86132
586,0.86127
587,0.86142
588,0.861
589,0.86099
590,0.86097
591,0.86094
592,0.861
593,0.8609
594,0.86108
595,0.86142
596,0.86141
597,0.8614
598,0.86152
599,0.86174
600,0.86155
601,0.86164
602,0.8623
603,0.86238
604,0.86229
605,0.86236
606,0.86238
607,0.8625
608,0.86243
609,0.86221
610,0.86222
611,0.86212
612,0.86212
613,0.86238
614,0.86229
615,0.86239
616,0.86215
617,0.86193
618,0.86197
619,0.8619
620,0.86188
621,0.86135
622,0.86107
623,0.86135
624,0.86129
625,0.86129
626,0.86117
627,0.86142
628,0.86136
629,0.86141
630,0.8613
631,0.86133
632,0.86121
633,0.86108
634,0.86106
635,0.86126
636,0.86121
637,0.86137
638,0.86133
639,0.86139
640,0.86141
641,0.86136
642,0.86119
643,0.86139
644,0.86132
645,0.86133
646,0.86138
647,0.86124
648,0.86118
649,0.86146
650,0.86145
651,0.86144
652,0.86143
653,0.86125
654,0.86132
655,0.86125
656,0.86143
657,0.86107
658,0.86094
659,0.86114
660,0.86144
661,0.86142
662,0.86097
663,0.86117
664,0.86066
665,0.86089
666,0.86063
667,0.86063
668,0.86057
669,0.86078
670,0.86126
671,0.86091
672,0.86124
673,0.861
674,0.86089
675,0.86111
676,0.86099
677,0.86073
678,0.86039
679,0.86043
680,0.86067
681,0.86049
682,0.86056
683,0.86089
684,0.86114
685,0.8611
686,0.86101
687,0.86065
688,0.86049
689,0.86042
690,0.86027
691,0.86049
692,0.85994
693,0.86061
694,0.86014
695,0.86
696,0.86009
697,0.86075
698,0.86119
699,0.86107
700,0.86057
701,0.86088
702,0.86082
703,0.86143
704,0.86153
705,0.8614
706,0.86166
707,0.862
708,0.86223
709,0.86253
710,0.86289
711,0.86318
712,0.8625
713,0.86303
714,0.86283
715,0.86303
716,0.86318
717,0.86324
718,0.86337
719,0.86344
720,0.8634
721,0.86336
722,0.86291
723,0.86295
724,0.8627
725,0.86285
726,0.86289
727,0.86272
728,0.86284
729,0.86281
730,0.86295
731,0.86306
732,0.86293
733,0.863
734,0.86303
735,0.86301
736,0.86295
737,0.86284
738,0.86269
739,0.86264
740,0.86271
741,0.86266
742,0.86259
743,0.86358
744,0.86322
745,0.86333
746,0.86345
747,0.86326
748,0.86311
749,0.86286
750,0.8629
751,0.86309
752,0.86302
753,0.86307
754,0.86303
755,0.86308
756,0.86307
757,0.86306
758,0.863
759,0.86286
760,0.86284
761,0.86308
762,0.86317
763,0.86323
764,0.86317
765,0.86332
766,0.86335
767,0.86326
768,0.86345
769,0.8633
770,0.86325
771,0.8631
772,0.8631
773,0.86309
774,0.86327
775,0.86332
776,0.86342
777,0.86336
778,0.86331
779,0.86326
780,0.86321
781,0.86321
782,0.86329
783,0.8633
784,0.8633
785,0.86321
786,0.8632
787,0.86311
788,0.8631
789,0.86322
790,0.86339
791,0.86341
792,0.86334
793,0.86348
794,0.86348
795,0.8636
796,0.86336
797,0.86353
798,0.86382
799,0.86362
800,0.86372
801,0.86343
802,0.86355
803,0.86254
804,0.86253
805,0.86239
806,0.86237
807,0.86261
808,0.86324
809,0.86322
810,0.86306
811,0.86297
812,0.86333
813,0.86355
814,0.86409
815,0.8641
816,0.86404
817,0.86394
818,0.86399
819,0.86413
820,0.8643
821,0.86398
822,0.86398
823,0.86382
824,0.86378
825,0.86376
826,0.864
827,0.8638
828,0.86397
829,0.86379
830,0.86406
831,0.86384
832,0.8641
833,0.86374
834,0.86352
835,0.86369
836,0.8635
837,0.86339
838,0.86382
839,0.86372
840,0.86381
841,0.86413
842,0.86406
843,0.86433
844,0.86386
845,0.8639
846,0.86397
847,0.86428
848,0.86439
849,0.86385
850,0.86338
851,0.86358
852,0.86343
853,0.86317
854,0.86308
855,0.86312
856,0.8635
857,0.86344
858,0.86332
859,0.8634
860,0.8636
861,0.86382
862,0.86363
863,0.86377
864,0.86365
865,0.86408
866,0.86408
867,0.86392
868,0.86437
869,0.86433
870,0.86406
871,0.86411
872,0.86397
873,0.86396
874,0.86387
875,0.86363
876,0.86354
877,0.86353
878,0.86366
879,0.86376
880,0.86397
881,0.86387
882,0.86388
883,0.86382
884,0.86385
885,0.86391
886,0.8636
887,0.86352
888,0.86355
889,0.86358
890,0.86357
891,0.8635
892,0.86324
893,0.86354
894,0.86347
895,0.86345
896,0.86362
897,0.86338
898,0.8633
899,0.86349
900,0.86349
901,0.86357
902,0.86354
903,0.86364
904,0.86373
905,0.86356
906,0.86352
907,0.86358
908,0.86359
909,0.86362
910,0.86345
911,0.86341
912,0.86334
913,0.86334
914,0.86336
915,0.8633
916,0.8633
917,0.8634
918,0.86333
919,0.8633
920,0.86317
921,0.86311
922,0.8633
923,0.86338
924,0.86339
925,0.86345
926,0.86352
927,0.86345
928,0.86363
929,0.86357
930,0.86354
931,0.86366
932,0.86372
933,0.8637
934,0.8638
935,0.86365
936,0.86371
937,0.8637
938,0.86382
939,0.86376
940,0.86392
941,0.8638
942,0.86373
943,0.86324
944,0.86346
945,0.86339
946,0.86343
947,0.86312
948,0.86324
949,0.86345
950,0.86433
951,0.86416
952,0.86402
953,0.86396
954,0.86431
955,0.86382
956,0.86361
957,0.86351
958,0.86294
959,0.86318
960,0.86276
961,0.86249
962,0.8625
963,0.86244
964,0.86163
965,0.86158
966,0.86173
967,0.86193
968,0.86175
969,0.86186
970,0.86103
971,0.86093
972,0.86109
973,0.86112
974,0.86133
975,0.86136
976,0.8614
977,0.86129
978,0.86086
979,0.8607
980,0.86063
981,0.86088
982,0.86111
983,0.86139
984,0.86102
985,0.86083
986,0.86057
987,0.86013
988,0.86033
989,0.86039
990,0.86034
991,0.86033
992,0.8604
993,0.86019
994,0.86059
995,0.86032
996,0.86024
997,0.86006
998,0.8603
999,0.86026
1000,0.86011
1001,0.86003
1002,0.86003
1003,0.86006
1004,0.86001
1005,0.86028
1006,0.8599
1007,0.85964
1008,0.85946
1009,0.85906
1010,0.85921
1011,0.85907
1012,0.85893
1013,0.85874
1014,0.85856
1015,0.85869
1016,0.8588
1017,0.85878
1018,0.85885
1019,0.85892
1020,0.85908
1021,0.85928
1022,0.85909
1023,0.85919
1024,0.85911
1025,0.85941
1026,0.85943
1027,0.85944
1028,0.85957
1029,0.85954
1030,0.85937
1031,0.85911
1032,0.8596
1033,0.85965
1034,0.8596
1035,0.85961
1036,0.85958
1037,0.85942
1038,0.8595
1039,0.85952
1040,0.85955
1041,0.85974
1042,0.85974
1043,0.85985
1044,0.85954
1045,0.85965
1046,0.85958
1047,0.85952
1048,0.85943
1049,0.85946
1050,0.85965
1051,0.85963
1052,0.85962
1053,0.85973
1054,0.85978
1055,0.85991
1056,0.85975
1057,0.85984
1058,0.85991
1059,0.8599
1060,0.85988
1061,0.8598
1062,0.85976
1063,0.85977
1064,0.85989
1065,0.85973
1066,0.85972
1067,0.85956
1068,0.85977
1069,0.85971
1070,0.85964
1071,0.85962
1072,0.85968
1073,0.85955
1074,0.85959
1075,0.85967
1076,0.85964
1077,0.85971
1078,0.85966
1079,0.85961
1080,0.85961
1081,0.85972
1082,0.85967
1083,0.85982
1084,0.85984
1085,0.86041
1086,0.86011
1087,0.85999
1088,0.8601
1089,0.86003
1090,0.85993
1091,0.8599
1092,0.86002
1093,0.86012
1094,0.86003
1095,0.85976
1096,0.85999
1097,0.86031
1098,0.86057
1099,0.86063
1100,0.86077
1101,0.86085
1102,0.86069
1103,0.86088
1104,0.86111
1105,0.86073
1106,0.86101
1107,0.86059
1108,0.86046
1109,0.86054
1110,0.86043
1111,0.86021
1112,0.86015
1113,0.86015
1114,0.86001
1115,0.86025
1116,0.86021
1117,0.86029
1118,0.86045
1119,0.86061
1120,0.8606
1121,0.86053
1122,0.86037
1123,0.86032
1124,0.85998
1125,0.8599
1126,0.86021
1127,0.86048
1128,0.86071
1129,0.8605
1130,0.86032
1131,0.8606
1132,0.86075
1133,0.86062
1134,0.86051
1135,0.86051
1136,0.86032
1137,0.86039
1138,0.8602
1139,0.86042
1140,0.86018
1141,0.86037
1142,0.86016
1143,0.86027
1144,0.86046
1145,0.8603
1146,0.86039
1147,0.86056
1148,0.861
1149,0.861
1150,0.86064
1151,0.86128
1152,0.86119
1153,0.86129
1154,0.86161
1155,0.86136
1156,0.86145
1157,0.86143
1158,0.86133
1159,0.86128
1160,0.86143
1161,0.86131
1162,0.86099
1163,0.86108
1164,0.86097
1165,0.86101
1166,0.86097
1167,0.86101
1168,0.86095
1169,0.8609
1170,0.861
1171,0.86087
1172,0.86083
1173,0.86077
1174,0.8606
1175,0.86065
1176,0.86084
1177,0.86053
1178,0.86076
1179,0.86085
1180,0.86067
1181,0.86091
1182,0.86091
1183,0.86092
1184,0.86098
1185,0.86105
1186,0.86106
1187,0.86104
1188,0.86096
1189,0.86108
1190,0.86112
1191,0.86118
1192,0.86116
1193,0.86101
1194,0.86102
1195,0.86093
1196,0.86102
1197,0.86112
1198,0.86104
1199,0.86112
1200,0.86131
1201,0.86156
1202,0.86146
1203,0.86111
1204,0.861
1205,0.86101
1206,0.8611
1207,0.86099
1208,0.86111
1209,0.86104
1210,0.86105
1211,0.86105
1212,0.861
1213,0.86108
1214,0.86127
1215,0.86118
1216,0.86104
1217,0.86111
1218,0.86111
1219,0.86095
1220,0.86095
1221,0.86091
1222,0.86089
1223,0.86098
1224,0.86086
1225,0.86116
1226,0.86108
1227,0.86083
1228,0.86096
1229,0.86138
1230,0.86134
1231,0.86167
1232,0.86177
1233,0.86158
1234,0.86153
1235,0.86085
1236,0.86052
1237,0.86091
1238,0.86099
1239,0.86075
1240,0.86112
1241,0.86112
1242,0.86104
1243,0.86107
1244,0.86099
1245,0.86134
1246,0.86087
1247,0.86077
1248,0.86113
1249,0.86118
